"predictor" "output"
"374" "imagination" "to"
"375" "to" "create"
"376" "create" "your"
"377" "your" "own"
"378" "own" "style"
"379" "style" "and"
"380" "and" "give"
"381" "give" "them"
"382" "them" "a"
"383" "a" "happy"
"384" "happy" "night"
"385" "night" "they"
"386" "they" "will"
"387" "will" "remember"
"388" "marcel" "is"
"389" "is" "tearing"
"390" "tearing" "up"
"391" "up" "on"
"392" "on" "the"
"393" "the" "keyboard"
"394" "keyboard" "get"
"395" "get" "down"
"396" "down" "here"
"397" "here" "and"
"398" "and" "check"
"399" "check" "him"
"400" "him" "out"
"401" "out" "brass"
"402" "brass" "monkey"
"403" "monkey" "west"
"404" "west" "allis"
"405" "allis" "::number::"
"406" "::number::" "th"
"407" "th" "greenfield"
"408" "my" "world"
"409" "world" "has"
"410" "has" "been"
"411" "been" "flipped"
"412" "flipped" "upside"
"413" "upside" "down"
"414" "down" "according"
"415" "according" "to"
"416" "to" "our"
"417" "our" "team"
"418" "team" "jung"
"419" "jung" "workshop"
"420" "workshop" "i'm"
"421" "i'm" "not"
"422" "not" "an"
"423" "an" "enfp"
"424" "enfp" "i'm"
"425" "i'm" "entp"
"426" "entp" "i"
"427" "i" "don't"
"428" "don't" "know"
"429" "know" "who"
"430" "who" "i"
"431" "i" "am"
"432" "am" "anymore"
"433" "anymore" "ahh"
"434" "stir" "the"
"435" "the" "custard"
"436" "custard" "well"
"437" "well" "then"
"438" "then" "freeze"
"439" "freeze" "in"
"440" "in" "ice"
"441" "ice" "cream"
"442" "cream" "machine"
"443" "machine" "it"
"444" "it" "will"
"445" "will" "be"
"446" "be" "soft"
"447" "soft" "but"
"448" "but" "ready"
"449" "ready" "to"
"450" "to" "eat"
"451" "eat" "or"
"452" "or" "freeze"
"453" "freeze" "at"
"454" "at" "least"
"455" "least" "::number::"
"456" "::number::" "hours"
"457" "hours" "for"
"458" "for" "firmer"
"459" "firmer" "ice"
"460" "ice" "cream"
"461" "happy" "red"
"462" "red" "aids"
"463" "aids" "day"
"464" "day" "happy"
"465" "happy" "birthday"
"466" "birthday" "bono"
"467" "bono" "oprah"
"468" "oprah" "why'd"
"469" "why'd" "you"
"470" "you" "have"
"471" "have" "to"
"472" "to" "go"
"473" "that's" "probably"
"474" "probably" "true"
"475" "true" "i'll"
"476" "i'll" "shake"
"477" "shake" "it"
"478" "it" "off"
"479" "amazon" "doesn't"
"480" "doesn't" "like"
"481" "like" "it's"
"482" "it's" "customers"
"483" "customers" "why"
"484" "why" "is"
"485" "is" "that"
"486" "facebook" "we"
"487" "we" "know"
"488" "know" "its"
"489" "its" "the"
"490" "the" "devil"
"491" "devil" "but"
"492" "but" "if"
"493" "if" "youre"
"494" "youre" "already"
"495" "already" "in"
"496" "in" "hell"
"497" "hell" "why"
"498" "why" "not"
"499" "not" "join"
"500" "join" "us"
"501" "here" "comes"
"502" "comes" "the"
"503" "the" "role"
"504" "role" "strain"
"505" "snow" "storm"
"506" "storm" "and"
"507" "and" "driving"
"508" "driving" "sleet"
"509" "sleet" "sounds"
"510" "sounds" "like"
"511" "like" "a"
"512" "a" "good"
"513" "good" "time"
"514" "time" "for"
"515" "for" "a"
"516" "a" "tweet"
"517" "tweet" "up"
"518" "up" "in"
"519" "in" "the"
"520" "the" "horeb"
"521" "horeb" "who's"
"522" "who's" "in"
"523" "never" "mind"
"524" "mind" "results"
"525" "results" "q"
"526" "q" "re"
"527" "re" "read"
"528" "read" "your"
"529" "your" "tweet"
"530" "tweet" "fav"
"531" "fav" "fat"
"532" "fat" "is"
"533" "is" "love"
"534" "love" "avocados"
"535" "avocados" "evoo"
"536" "evoo" "and"
"537" "and" "coconut"
"538" "coconut" "not"
"539" "not" "together"
"540" "together" "of"
"541" "of" "course"
"542" "museum" "tomorrow"
"543" "find" "god's"
"544" "god's" "grace"
"545" "grace" "in"
"546" "in" "every"
"547" "every" "mistake"
"548" "mistake" "and"
"549" "and" "always"
"550" "always" "give"
"551" "give" "more"
"552" "more" "than"
"553" "than" "you"
"554" "you" "take"
"555" "take" "#"
"556" "laugh" "and"
"557" "and" "listen"
"558" "people" "who"
"559" "who" "say"
"560" "say" "i"
"561" "i" "didn't"
"562" "didn't" "come"
"563" "come" "from"
"564" "from" "no"
"565" "no" "damn"
"566" "damn" "monkeys"
"567" "monkeys" "have"
"568" "have" "obviously"
"569" "obviously" "never"
"570" "never" "picked"
"571" "picked" "up"
"572" "up" "their"
"573" "their" "underwear"
"574" "underwear" "off"
"575" "off" "the"
"576" "the" "floor"
"577" "floor" "with"
"578" "with" "their"
"579" "their" "feet"
"580" "practical" "means"
"581" "means" "to"
"582" "to" "upgrade"
"583" "upgrade" "your"
"584" "your" "home"
"585" "i" "know"
"586" "know" "my"
"587" "my" "b"
"588" "b" "doee"
"589" "doee" "i"
"590" "i" "been"
"591" "been" "layin"
"592" "layin" "low"
"593" "low" "n"
"594" "n" "shit"
"595" "shit" "aha"
"596" "aha" "but"
"597" "but" "wen"
"598" "wen" "dis"
"599" "dis" "phone"
"600" "phone" "come"
"601" "come" "we"
"602" "we" "gon"
"603" "gon" "be"
"604" "be" "able"
"605" "able" "to"
"606" "to" "stay"
"607" "stay" "in"
"608" "in" "touch"
"609" "i" "need"
"610" "need" "to"
"611" "to" "read"
"612" "read" "your"
"613" "your" "thesis"
"614" "thesis" "then"
"615" "then" "be"
"616" "be" "sure"
"617" "sure" "to"
"618" "to" "bring"
"619" "bring" "extra"
"620" "extra" "copies"
"621" "copies" "to"
"622" "to" "vancouver"
"623" "armed" "with"
"624" "with" "triumphant"
"625" "triumphant" "truncheons"
"626" "encourage" "your"
"627" "your" "child"
"628" "child" "to"
"629" "to" "be"
"630" "be" "with"
"631" "with" "friends"
"632" "friends" "when"
"633" "when" "traveling"
"634" "traveling" "back"
"635" "back" "and"
"636" "and" "forth"
"637" "forth" "from"
"638" "from" "school"
"639" "school" "during"
"640" "during" "shopping"
"641" "shopping" "trips"
"642" "trips" "or"
"643" "or" "on"
"644" "on" "other"
"645" "other" "outings"
"646" "outings" "bullies"
"647" "bullies" "are"
"648" "are" "less"
"649" "less" "likely"
"650" "likely" "to"
"651" "to" "pick"
"652" "pick" "on"
"653" "on" "a"
"654" "a" "child"
"655" "child" "in"
"656" "in" "a"
"657" "a" "group"
"658" "it's" "almost"
"659" "almost" "time"
"660" "time" "to"
"661" "to" "ring"
"662" "ring" "in"
"663" "in" "a"
"664" "a" "new"
"665" "new" "year"
"666" "year" "and"
"667" "and" "with"
"668" "with" "that"
"669" "that" "comes"
"670" "comes" "a"
"671" "a" "sale"
"672" "me" "doing"
"673" "doing" "something"
"674" "something" "really"
"675" "really" "stupid"
"676" "if" "a"
"677" "a" "woman"
"678" "woman" "is"
"679" "is" "bad"
"680" "bad" "a"
"681" "a" "parking"
"682" "parking" "its"
"683" "its" "prob"
"684" "prob" "just"
"685" "just" "bc"
"686" "bc" "she"
"687" "she" "has"
"688" "has" "been"
"689" "been" "constantly"
"690" "constantly" "lied"
"691" "lied" "to"
"692" "to" "about"
"693" "about" "what"
"694" "what" "::number::"
"695" "::number::" "inches"
"696" "inches" "is"
"697" "jeron" "teams"
"698" "teams" "with"
"699" "with" "brekeke"
"700" "brekeke" "software"
"701" "software" "to"
"702" "to" "deliver"
"703" "deliver" "sip"
"704" "sip" "wireless"
"705" "wireless" "phone"
"706" "phone" "integration"
"707" "integration" "to"
"708" "to" "provider"
"709" "provider" "::number::"
"710" "::number::" "nurse"
"711" "nurse" "call"
"712" "just" "got"
"713" "got" "home"
"714" "home" "from"
"715" "from" "a"
"716" "a" "very"
"717" "very" "event"
"718" "event" "full"
"719" "full" "thing"
"720" "question" "to"
"721" "to" "the"
"722" "the" "profession"
"723" "profession" "is"
"724" "is" "do"
"725" "do" "we"
"726" "we" "want"
"727" "want" "change"
"728" "change" "if"
"729" "if" "so"
"730" "so" "how"
"731" "how" "badly"
"732" "badly" "and"
"733" "and" "what"
"734" "what" "are"
"735" "are" "we"
"736" "we" "prepared"
"737" "prepared" "to"
"738" "to" "do"
"739" "do" "to"
"740" "to" "get"
"741" "get" "it"
"742" "::number::" "squinted"
"743" "i" "love"
"744" "love" "talking"
"745" "talking" "to"
"746" "to" "old"
"747" "old" "friends"
"748" "friends" "that"
"749" "that" "i"
"750" "i" "haven't"
"751" "haven't" "talked"
"752" "talked" "to"
"753" "to" "in"
"754" "in" "months"
"755" "months" "makes"
"756" "makes" "my"
"757" "my" "night"
"758" "is" "there"
"759" "there" "cake"
"760" "cake" "for"
"761" "for" "that"
"762" "that" "#obscureholidaycelebration"
"763" "they" "played"
"764" "played" "out"
"765" "out" "like"
"766" "like" "throwbacks"
"767" "throwbacks" "and"
"768" "and" "strapped"
"769" "strapped" "girbuads"
"770" "girbuads" "super"
"771" "super" "baggy"
"772" "baggy" "clothes"
"773" "clothes" "and"
"774" "and" "whips"
"775" "whips" "wit"
"776" "wit" "stop"
"777" "stop" "go's"
"778" "go's" "i'm"
"779" "i'm" "like"
"780" "like" "rose"
"781" "rose" "#"
"782" "#" "::number::"
"783" "::number::" "i"
"784" "i" "come"
"785" "come" "::number::"
"786" "::number::" "nd"
"787" "nd" "to"
"788" "to" "none"
"789" "ik" "the"
"790" "the" "feeling"
"791" "feeling" "mine"
"792" "mine" "all"
"793" "all" "ways"
"794" "ways" "tingle"
"795" "tingle" "an"
"796" "an" "get"
"797" "get" "so"
"798" "so" "sore"
"799" "sore" "i"
"800" "i" "don't"
"801" "don't" "want"
"802" "want" "to"
"803" "to" "walk"
"804" "walk" "girl"
"805" "i" "always"
"806" "always" "want"
"807" "want" "what"
"808" "what" "i"
"809" "i" "can't"
"810" "can't" "have"
"811" "if" "your"
"812" "your" "husband"
"813" "husband" "is"
"814" "is" "the"
"815" "the" "one"
"816" "one" "who"
"817" "who" "wants"
"818" "wants" "the"
"819" "the" "divorce"
"820" "divorce" "you"
"821" "you" "should"
"822" "should" "never"
"823" "never" "beg"
"824" "beg" "or"
"825" "or" "plead"
"826" "plead" "to"
"827" "to" "get"
"828" "get" "him"
"829" "him" "to"
"830" "to" "return"
"831" "return" "you"
"832" "you" "give"
"833" "give" "away"
"834" "away" "your"
"835" "your" "bargaining"
"836" "bargaining" "power"
"837" "digging" "around"
"838" "around" "in"
"839" "in" "the"
"840" "the" "bowels"
"841" "bowels" "of"
"842" "of" "the"
"843" "the" "internet"
"844" "internet" "for"
"845" "for" "ancient"
"846" "ancient" "unix"
"847" "unix" "code"
"848" "code" "i"
"849" "i" "forget"
"850" "forget" "the"
"851" "the" "web"
"852" "web" "is"
"853" "is" "so"
"854" "so" "new"
"855" "then" "when"
"856" "when" "are"
"857" "are" "we"
"858" "we" "going"
"859" "going" "to"
"860" "to" "hear"
"861" "hear" "from"
"862" "from" "coach"
"863" "coach" "shurmur"
"864" "shurmur" "if"
"865" "if" "he"
"866" "he" "was"
"867" "was" "talking"
"868" "talking" "to"
"869" "to" "the"
"870" "the" "fans"
"871" "fans" "during"
"872" "during" "the"
"873" "the" "offseason"
"874" "offseason" "we"
"875" "we" "wouldn't"
"876" "wouldn't" "bother"
"877" "bother" "mh"
"878" "my" "::number::"
"879" "::number::" "::number::"
"880" "::number::" "wish"
"881" "wish" "will"
"882" "will" "come"
"883" "come" "true"
"884" "true" "later"
"885" "later" "today"
"886" "today" "i"
"887" "i" "get"
"888" "get" "to"
"889" "to" "meet"
"890" "meet" "you"
"891" "just" "::number::"
"892" "::number::" "more"
"893" "more" "thing"
"894" "thing" "we"
"895" "we" "gave"
"896" "gave" "in"
"897" "in" "common"
"898" "common" "d"
"899" "why" "must"
"900" "must" "the"
"901" "the" "working"
"902" "working" "teachers"
"903" "teachers" "of"
"904" "of" "#ca"
"905" "#ca" "pay"
"906" "pay" "::number::"
"907" "::number::" "the"
"908" "the" "misconduct"
"909" "misconduct" "of"
"910" "of" "a"
"911" "a" "twisted"
"912" "twisted" "pervert"
"913" "pervert" "the"
"914" "the" "incompetence"
"915" "incompetence" "of"
"916" "of" "#lausd"
"917" "#lausd" "leadership"
"918" "armando" "peraza"
"919" "peraza" "will"
"920" "will" "not"
"921" "not" "attend"
"922" "attend" "san"
"923" "san" "jose"
"924" "jose" "drum"
"925" "drum" "off"
"926" "off" "friday"
"927" "friday" "::number::"
"928" "::number::" "::number::"
"929" "::number::" "::number::"
"930" "::number::" "get"
"931" "get" "well"
"932" "well" "local"
"933" "local" "master"
"934" "master" "of"
"935" "of" "cuban"
"936" "cuban" "percussion"
"937" "lavanchy" "d"
"938" "d" "osterhaus"
"939" "osterhaus" "ad"
"940" "ad" "recommendations"
"941" "recommendations" "for"
"942" "for" "the"
"943" "the" "use"
"944" "use" "of"
"945" "of" "inactivated"
"946" "inactivated" "influenza"
"947" "influenza" "vaccines"
"948" "vaccines" "and"
"949" "and" "other"
"950" "other" "preventive"
"951" "preventive" "measures"
"952" "measures" "vaccine"
"953" "vaccine" "::number::"
"954" "::number::" "::number::"
"955" "::number::" "::number::"
"956" "::number::" "::number::"
"957" "the" "me"
"958" "me" "::number::"
"959" "::number::" "club"
"960" "club" "helps"
"961" "helps" "children"
"962" "children" "and"
"963" "and" "young"
"964" "young" "people"
"965" "people" "aged"
"966" "aged" "::number::"
"967" "::number::" "to"
"968" "to" "::number::"
"969" "::number::" "years"
"970" "years" "old"
"971" "old" "with"
"972" "with" "additional"
"973" "additional" "needs"
"974" "needs" "to"
"975" "to" "participate"
"976" "participate" "in"
"977" "in" "mainstream"
"978" "mainstream" "activities"
"979" "activities" "playing"
"980" "playing" "and"
"981" "and" "socialising"
"982" "socialising" "alongside"
"983" "alongside" "other"
"984" "other" "children"
"985" "children" "this"
"986" "this" "is"
"987" "is" "made"
"988" "made" "possible"
"989" "possible" "by"
"990" "by" "providing"
"991" "providing" "a"
"992" "a" "trained"
"993" "trained" "volunteer"
"994" "volunteer" "to"
"995" "to" "offer"
"996" "offer" "one"
"997" "one" "to"
"998" "to" "one"
"999" "one" "support"
"1000" "tomorrow" "is"
"1001" "is" "the"
"1002" "the" "big"
"1003" "big" "day"
"1004" "oh" "no"
"1005" "the" "lovely"
"1006" "lovely" "borjana"
"1007" "borjana" "eghbalian"
"1008" "eghbalian" "of"
"1009" "of" "the"
"1010" "the" "blog"
"1011" "blog" "green"
"1012" "green" "and"
"1013" "and" "stylish"
"1014" "stylish" "has"
"1015" "has" "tagged"
"1016" "tagged" "me"
"1017" "me" "for"
"1018" "for" "the"
"1019" "the" "kreativ"
"1020" "kreativ" "blogger"
"1021" "blogger" "award"
"1022" "award" "which"
"1023" "which" "requires"
"1024" "requires" "me"
"1025" "me" "to"
"1026" "to" "reveal"
"1027" "reveal" "::number::"
"1028" "::number::" "things"
"1029" "things" "about"
"1030" "about" "myself"
"1031" "myself" "in"
"1032" "in" "this"
"1033" "this" "post"
"1034" "post" "and"
"1035" "and" "pass"
"1036" "pass" "the"
"1037" "the" "award"
"1038" "award" "on"
"1039" "on" "to"
"1040" "to" "::number::"
"1041" "::number::" "bloggers"
"1042" "bloggers" "that"
"1043" "that" "i"
"1044" "i" "admire"
"1045" "admire" "and"
"1046" "and" "secretly"
"1047" "secretly" "want"
"1048" "want" "to"
"1049" "to" "know"
"1050" "know" "more"
"1051" "more" "about"
"1052" "about" "and"
"1053" "and" "then"
"1054" "then" "leave"
"1055" "leave" "a"
"1056" "a" "post"
"1057" "post" "on"
"1058" "on" "their"
"1059" "their" "blogs"
"1060" "blogs" "to"
"1061" "to" "let"
"1062" "let" "them"
"1063" "them" "know"
"1064" "know" "i"
"1065" "i" "will"
"1066" "will" "also"
"1067" "also" "proudly"
"1068" "proudly" "display"
"1069" "display" "the"
"1070" "the" "kreativ"
"1071" "kreativ" "blogger"
"1072" "blogger" "award"
"1073" "award" "image"
"1074" "image" "thank"
"1075" "thank" "you"
"1076" "you" "borjana"
"1077" "drew" "i"
"1078" "i" "keep"
"1079" "keep" "it"
"1080" "it" "very"
"1081" "very" "very"
"1082" "very" "very"
"1083" "very" "simple"
"1084" "simple" "i"
"1085" "i" "read"
"1086" "read" "a"
"1087" "a" "passage"
"1088" "passage" "i"
"1089" "i" "pray"
"1090" "pray" "about"
"1091" "about" "it"
"1092" "it" "i"
"1093" "i" "pray"
"1094" "pray" "for"
"1095" "for" "my"
"1096" "my" "loved"
"1097" "loved" "ones"
"1098" "ones" "then"
"1099" "then" "i"
"1100" "i" "go"
"1101" "go" "eat"
"1102" "eat" "breakfast"
"1103" "its" "too"
"1104" "too" "old"
"1105" "old" "fashioned"
"1106" "fashioned" "and"
"1107" "and" "puts"
"1108" "puts" "me"
"1109" "me" "to"
"1110" "to" "sleep"
"1111" "she's" "so"
"1112" "so" "tall"
"1113" "tall" "hahaha"
"1114" "hahaha" "tell"
"1115" "tell" "her"
"1116" "her" "ok"
"1117" "what" "rt"
"1118" "rt" "#libra"
"1119" "#libra" "has"
"1120" "has" "a"
"1121" "a" "big"
"1122" "big" "need"
"1123" "need" "for"
"1124" "for" "variety"
"1125" "variety" "that"
"1126" "that" "means"
"1127" "means" "if"
"1128" "if" "they"
"1129" "they" "get"
"1130" "get" "bored"
"1131" "bored" "with"
"1132" "with" "you"
"1133" "you" "they'll"
"1134" "they'll" "try"
"1135" "try" "someone"
"1136" "someone" "else"
"1137" "share" "the"
"1138" "the" "wealth"
"1139" "wealth" "pay"
"1140" "pay" "it"
"1141" "it" "forward"
"1142" "forward" "america"
"1143" "morning" "without"
"1144" "without" "coffee"
"1145" "coffee" "is"
"1146" "is" "like"
"1147" "happy" "marijuana"
"1148" "marijuana" "day"
"1149" "m" "mc"
"1150" "mc" "pie"
"1151" "she" "made"
"1152" "made" "me"
"1153" "me" "delete"
"1154" "delete" "it"
"1155" "if" "we"
"1156" "we" "pull"
"1157" "pull" "it"
"1158" "it" "off"
"1159" "off" "we're"
"1160" "we're" "inviting"
"1161" "inviting" "trilogy"
"1162" "trilogy" "i"
"1163" "i" "nu"
"1164" "nu" "era"
"1165" "era" "for"
"1166" "for" "sure"
"1167" "avocados" "are"
"1168" "are" "the"
"1169" "the" "best"
"1170" "best" "it's"
"1171" "it's" "like"
"1172" "like" "a"
"1173" "a" "little"
"1174" "little" "thing"
"1175" "thing" "of"
"1176" "of" "healthy"
"1177" "healthy" "butter"
"1178" "butter" "also"
"1179" "also" "guacamole"
"1180" "love" "those"
"1181" "those" "shirts"
"1182" "correction" "from"
"1183" "from" "previous"
"1184" "previous" "tweet"
"1185" "tweet" "gop"
"1186" "gop" "sen"
"1187" "sen" "terry"
"1188" "terry" "moulton"
"1189" "moulton" "is"
"1190" "is" "from"
"1191" "from" "chippewa"
"1192" "chippewa" "falls"
"1193" "falls" "van"
"1194" "van" "wanggaard"
"1195" "wanggaard" "is"
"1196" "is" "from"
"1197" "from" "racine"
"1198" "someday" "someone"
"1199" "someone" "might"
"1200" "might" "come"
"1201" "come" "into"
"1202" "into" "your"
"1203" "your" "life"
"1204" "life" "and"
"1205" "and" "love"
"1206" "love" "you"
"1207" "you" "the"
"1208" "the" "way"
"1209" "way" "you've"
"1210" "you've" "always"
"1211" "always" "wanted"
"1212" "it" "is"
"1213" "is" "his"
"1214" "his" "joy"
"1215" "joy" "that"
"1216" "that" "remains"
"1217" "remains" "in"
"1218" "in" "us"
"1219" "us" "that"
"1220" "that" "makes"
"1221" "makes" "our"
"1222" "our" "joy"
"1223" "joy" "full"
"1224" "full" "a"
"1225" "a" "b"
"1226" "b" "simpson"
"1227" "a" "love"
"1228" "love" "that"
"1229" "that" "consumes"
